"","NSI","piMetals","pi","piHC"
"SWARM_921",7.005,NA,NA,NA
"SWARM_920",NA,1.72987222906404,NA,NA
"SWARM_22494",NA,NA,NA,NA
"SWARM_22498",NA,NA,NA,NA
"SWARM_15527",NA,NA,NA,NA
"SWARM_15526",NA,NA,NA,NA
"SWARM_15529",NA,NA,NA,NA
"SWARM_9154",NA,NA,NA,NA
"SWARM_6905",NA,NA,NA,NA
"SWARM_11414",NA,NA,NA,NA
"SWARM_11413",NA,NA,NA,NA
"SWARM_12859",NA,NA,NA,NA
"SWARM_4676",NA,NA,NA,NA
"SWARM_4677",NA,NA,NA,NA
"SWARM_4674",NA,NA,NA,NA
"SWARM_4675",NA,NA,NA,NA
"SWARM_4673",NA,NA,NA,NA
"SWARM_4671",NA,NA,NA,NA
"SWARM_6296",NA,NA,NA,NA
"SWARM_6292",NA,NA,NA,NA
"SWARM_6293",NA,NA,NA,NA
"SWARM_6290",NA,NA,NA,NA
"SWARM_6291",NA,NA,NA,NA
"SWARM_6299",NA,NA,NA,NA
"SWARM_8943",NA,NA,NA,NA
"SWARM_6120",NA,NA,NA,NA
"SWARM_6124",NA,NA,NA,NA
"SWARM_6126",NA,NA,NA,NA
"SWARM_2639",NA,NA,NA,NA
"SWARM_2630",NA,NA,NA,NA
"SWARM_2631",NA,NA,NA,NA
"SWARM_2632",NA,NA,NA,NA
"SWARM_2635",NA,NA,NA,NA
"SWARM_2637",NA,NA,NA,NA
"SWARM_908",NA,NA,NA,NA
"SWARM_903",27.845,1.70553845101259,0.329638980113118,0.304259259259259
"SWARM_902",NA,0.368397646414889,0.334259487319832,4.18416666666667
"SWARM_904",NA,NA,1.05379633430639,0.190509259259259
"SWARM_907",27.35,NA,NA,NA
"SWARM_906",NA,NA,NA,NA
"SWARM_7657",NA,NA,NA,NA
"SWARM_8492",NA,NA,NA,NA
"SWARM_8490",NA,NA,NA,NA
"SWARM_9723",NA,NA,NA,NA
"SWARM_9720",NA,NA,NA,NA
"SWARM_29202",NA,NA,NA,NA
"SWARM_1381",27.35,NA,NA,NA
"SWARM_1382",NA,NA,NA,NA
"SWARM_1384",27.35,NA,NA,NA
"SWARM_1387",27.44,NA,NA,NA
"SWARM_1386",27.44,NA,NA,0.19375
"SWARM_1389",NA,2.10914922003284,2.40866648706897,4.07
"SWARM_1049",NA,NA,NA,3.16534722222222
"SWARM_13277",NA,NA,NA,NA
"SWARM_28611",NA,NA,NA,NA
"SWARM_16355",NA,NA,NA,NA
"SWARM_16359",NA,NA,NA,NA
"SWARM_10216",NA,NA,NA,NA
"SWARM_10212",NA,NA,NA,NA
"SWARM_2436",NA,NA,NA,NA
"SWARM_2437",NA,NA,NA,NA
"SWARM_2432",NA,NA,NA,NA
"SWARM_2433",NA,NA,NA,NA
"SWARM_2430",NA,NA,NA,NA
"SWARM_15195",NA,NA,NA,NA
"SWARM_14247",NA,NA,NA,NA
"SWARM_2380",NA,NA,NA,NA
"SWARM_2381",NA,NA,NA,NA
"SWARM_2382",NA,NA,NA,NA
"SWARM_2383",NA,NA,NA,NA
"SWARM_2387",NA,NA,NA,NA
"SWARM_2388",NA,NA,NA,NA
"SWARM_2389",NA,NA,NA,NA
"SWARM_677",NA,3.10183382081281,3.64231080237411,NA
"SWARM_676",27.35,0.0912766830870279,NA,NA
"SWARM_675",NA,0.110994800218938,NA,NA
"SWARM_674",22.525,2.54493384818008,2.97169262281062,0.541666666666667
"SWARM_679",NA,2.42572223932677,2.28683429118774,NA
"SWARM_3004",NA,NA,NA,NA
"SWARM_9529",NA,NA,NA,NA
"SWARM_9528",NA,NA,NA,NA
"SWARM_9527",NA,NA,NA,NA
"SWARM_9526",NA,NA,NA,NA
"SWARM_9521",NA,NA,NA,NA
